Size,ArrayType,Algorithm,K,Time_us
500,Random,StandardMergeSort,0,273
500,Random,HybridMergeInsertionSort,5,140
500,Random,HybridMergeInsertionSort,10,111
500,Random,HybridMergeInsertionSort,15,103
500,Random,HybridMergeInsertionSort,20,95
500,Random,HybridMergeInsertionSort,30,94
500,Random,HybridMergeInsertionSort,50,91
600,Random,StandardMergeSort,0,341
600,Random,HybridMergeInsertionSort,5,162
600,Random,HybridMergeInsertionSort,10,132
600,Random,HybridMergeInsertionSort,15,130
600,Random,HybridMergeInsertionSort,20,115
600,Random,HybridMergeInsertionSort,30,114
600,Random,HybridMergeInsertionSort,50,114
700,Random,StandardMergeSort,0,388
700,Random,HybridMergeInsertionSort,5,211
700,Random,HybridMergeInsertionSort,10,181
700,Random,HybridMergeInsertionSort,15,153
700,Random,HybridMergeInsertionSort,20,150
700,Random,HybridMergeInsertionSort,30,137
700,Random,HybridMergeInsertionSort,50,142
800,Random,StandardMergeSort,0,448
800,Random,HybridMergeInsertionSort,5,259
800,Random,HybridMergeInsertionSort,10,214
800,Random,HybridMergeInsertionSort,15,172
800,Random,HybridMergeInsertionSort,20,170
800,Random,HybridMergeInsertionSort,30,159
800,Random,HybridMergeInsertionSort,50,169
900,Random,StandardMergeSort,0,509
900,Random,HybridMergeInsertionSort,5,286
900,Random,HybridMergeInsertionSort,10,227
900,Random,HybridMergeInsertionSort,15,195
900,Random,HybridMergeInsertionSort,20,194
900,Random,HybridMergeInsertionSort,30,183
900,Random,HybridMergeInsertionSort,50,182
1000,Random,StandardMergeSort,0,565
1000,Random,HybridMergeInsertionSort,5,309
1000,Random,HybridMergeInsertionSort,10,251
1000,Random,HybridMergeInsertionSort,15,238
1000,Random,HybridMergeInsertionSort,20,219
1000,Random,HybridMergeInsertionSort,30,218
1000,Random,HybridMergeInsertionSort,50,208
1100,Random,StandardMergeSort,0,629
1100,Random,HybridMergeInsertionSort,5,336
1100,Random,HybridMergeInsertionSort,10,275
1100,Random,HybridMergeInsertionSort,15,276
1100,Random,HybridMergeInsertionSort,20,241
1100,Random,HybridMergeInsertionSort,30,240
1100,Random,HybridMergeInsertionSort,50,234
1200,Random,StandardMergeSort,0,691
1200,Random,HybridMergeInsertionSort,5,360
1200,Random,HybridMergeInsertionSort,10,298
1200,Random,HybridMergeInsertionSort,15,295
1200,Random,HybridMergeInsertionSort,20,264
1200,Random,HybridMergeInsertionSort,30,262
1200,Random,HybridMergeInsertionSort,50,260
1300,Random,StandardMergeSort,0,760
1300,Random,HybridMergeInsertionSort,5,397
1300,Random,HybridMergeInsertionSort,10,336
1300,Random,HybridMergeInsertionSort,15,323
1300,Random,HybridMergeInsertionSort,20,307
1300,Random,HybridMergeInsertionSort,30,290
1300,Random,HybridMergeInsertionSort,50,293
1400,Random,StandardMergeSort,0,816
1400,Random,HybridMergeInsertionSort,5,458
1400,Random,HybridMergeInsertionSort,10,404
1400,Random,HybridMergeInsertionSort,15,343
1400,Random,HybridMergeInsertionSort,20,443
1400,Random,HybridMergeInsertionSort,30,459
1400,Random,HybridMergeInsertionSort,50,481
1500,Random,StandardMergeSort,0,880
1500,Random,HybridMergeInsertionSort,5,527
1500,Random,HybridMergeInsertionSort,10,431
1500,Random,HybridMergeInsertionSort,15,375
1500,Random,HybridMergeInsertionSort,20,366
1500,Random,HybridMergeInsertionSort,30,341
1500,Random,HybridMergeInsertionSort,50,354
1600,Random,StandardMergeSort,0,941
1600,Random,HybridMergeInsertionSort,5,571
1600,Random,HybridMergeInsertionSort,10,460
1600,Random,HybridMergeInsertionSort,15,393
1600,Random,HybridMergeInsertionSort,20,392
1600,Random,HybridMergeInsertionSort,30,364
1600,Random,HybridMergeInsertionSort,50,384
1700,Random,StandardMergeSort,0,1008
1700,Random,HybridMergeInsertionSort,5,596
1700,Random,HybridMergeInsertionSort,10,487
1700,Random,HybridMergeInsertionSort,15,420
1700,Random,HybridMergeInsertionSort,20,417
1700,Random,HybridMergeInsertionSort,30,390
1700,Random,HybridMergeInsertionSort,50,392
1800,Random,StandardMergeSort,0,1088
1800,Random,HybridMergeInsertionSort,5,825
1800,Random,HybridMergeInsertionSort,10,532
1800,Random,HybridMergeInsertionSort,15,519
1800,Random,HybridMergeInsertionSort,20,638
1800,Random,HybridMergeInsertionSort,30,418
1800,Random,HybridMergeInsertionSort,50,415
1900,Random,StandardMergeSort,0,1131
1900,Random,HybridMergeInsertionSort,5,649
1900,Random,HybridMergeInsertionSort,10,533
1900,Random,HybridMergeInsertionSort,15,472
1900,Random,HybridMergeInsertionSort,20,467
1900,Random,HybridMergeInsertionSort,30,452
1900,Random,HybridMergeInsertionSort,50,448
2000,Random,StandardMergeSort,0,1186
2000,Random,HybridMergeInsertionSort,5,673
2000,Random,HybridMergeInsertionSort,10,561
2000,Random,HybridMergeInsertionSort,15,534
2000,Random,HybridMergeInsertionSort,20,493
2000,Random,HybridMergeInsertionSort,30,492
2000,Random,HybridMergeInsertionSort,50,473
2100,Random,StandardMergeSort,0,1247
2100,Random,HybridMergeInsertionSort,5,703
2100,Random,HybridMergeInsertionSort,10,584
2100,Random,HybridMergeInsertionSort,15,584
