Type,Size,Algorithm,Time_ms,Comparisons
random,100,QUICKSORT,0.0073442,2102
random,100,MERGESORT,0.0455916,587
random,100,STRING_QUICKSORT,0.0063702,568
random,100,STRING_MERGESORT,0.0432746,587
random,100,MSD_RADIX,0.0382054,175
random,100,MSD_RADIX_QUICK,0.0058852,568
random,200,QUICKSORT,0.0189488,4933
random,200,MERGESORT,0.109999,1498
random,200,STRING_QUICKSORT,0.0171004,1504
random,200,STRING_MERGESORT,0.0996292,1498
random,200,MSD_RADIX,0.0797784,394
random,200,MSD_RADIX_QUICK,0.018778,1504
random,300,QUICKSORT,0.0337162,8671
random,300,MERGESORT,0.164368,2537
random,300,STRING_QUICKSORT,0.029292,2568
random,300,STRING_MERGESORT,0.157027,2537
random,300,MSD_RADIX,0.102697,608
random,300,MSD_RADIX_QUICK,0.0273674,723
random,400,QUICKSORT,0.0515594,13047
random,400,MERGESORT,0.242057,3676
random,400,STRING_QUICKSORT,0.0437232,3484
random,400,STRING_MERGESORT,0.238219,3676
random,400,MSD_RADIX,0.127822,826
random,400,MSD_RADIX_QUICK,0.0355458,1095
random,500,QUICKSORT,0.06825,15461
random,500,MERGESORT,0.310904,4842
random,500,STRING_QUICKSORT,0.0626366,5070
random,500,STRING_MERGESORT,0.28742,4842
random,500,MSD_RADIX,0.161137,1051
random,500,MSD_RADIX_QUICK,0.0473292,1508
random,600,QUICKSORT,0.0829066,18361
random,600,MERGESORT,0.359756,6113
random,600,STRING_QUICKSORT,0.06956,5299
random,600,STRING_MERGESORT,0.359096,6113
random,600,MSD_RADIX,0.175673,1267
random,600,MSD_RADIX_QUICK,0.0580386,1893
random,700,QUICKSORT,0.0964364,22020
random,700,MERGESORT,0.425362,7445
random,700,STRING_QUICKSORT,0.0807734,6364
random,700,STRING_MERGESORT,0.407709,7445
random,700,MSD_RADIX,0.191335,1482
random,700,MSD_RADIX_QUICK,0.073731,2373
random,800,QUICKSORT,0.113667,26650
random,800,MERGESORT,0.493425,8762
random,800,STRING_QUICKSORT,0.0943816,7708
random,800,STRING_MERGESORT,0.478183,8762
random,800,MSD_RADIX,0.222337,1698
random,800,MSD_RADIX_QUICK,0.0825732,2822
random,900,QUICKSORT,0.134141,30967
random,900,MERGESORT,0.563234,10131
random,900,STRING_QUICKSORT,0.111868,8486
random,900,STRING_MERGESORT,0.544753,10131
random,900,MSD_RADIX,0.236241,1912
random,900,MSD_RADIX_QUICK,0.0973584,3387
random,1000,QUICKSORT,0.15198,33234
random,1000,MERGESORT,0.625519,11538
random,1000,STRING_QUICKSORT,0.122156,9555
random,1000,STRING_MERGESORT,0.62065,11538
random,1000,MSD_RADIX,0.25505,2131
random,1000,MSD_RADIX_QUICK,0.1135,3954
random,1100,QUICKSORT,0.16906,41390
random,1100,MERGESORT,0.690443,12980
random,1100,STRING_QUICKSORT,0.143581,11652
random,1100,STRING_MERGESORT,0.6926,12980
random,1100,MSD_RADIX,0.29145,2368
random,1100,MSD_RADIX_QUICK,0.117659,4512
random,1200,QUICKSORT,0.193873,40165
random,1200,MERGESORT,0.779585,14528
random,1200,STRING_QUICKSORT,0.159233,12471
random,1200,STRING_MERGESORT,0.773332,14528
random,1200,MSD_RADIX,0.320906,2615
random,1200,MSD_RADIX_QUICK,0.131805,5113
random,1300,QUICKSORT,0.202064,45823
random,1300,MERGESORT,0.830225,16044
random,1300,STRING_QUICKSORT,0.169884,13044
random,1300,STRING_MERGESORT,0.825361,16044
random,1300,MSD_RADIX,0.351202,2844
random,1300,MSD_RADIX_QUICK,0.144258,5622
random,1400,QUICKSORT,0.222778,48283
random,1400,MERGESORT,0.900255,17583
random,1400,STRING_QUICKSORT,0.201793,15067
random,1400,STRING_MERGESORT,0.895943,17583
