experiment,step,true_count,hll_standard,hll_improved,hll_compact
0,5000,4889,5050.06,4850.07,4999.55
0,10000,9727,9882.10,9539.19,9783.28
0,15000,14555,15435.99,14975.99,15281.63
0,20000,19363,20226.00,19623.26,20023.74
0,25000,24145,25700.06,25060.13,25443.06
0,30000,28936,30575.19,29813.87,30269.44
0,35000,33727,33879.24,33035.64,33540.44
0,40000,38532,37670.40,36732.41,37293.70
0,45000,43337,42457.11,41607.97,42032.54
0,50000,48115,46792.24,45856.40,46324.32
0,55000,52891,51654.07,50620.99,51137.53
0,60000,57649,56686.73,55552.99,56119.86
0,65000,62420,61893.97,59442.97,61275.03
0,70000,67185,67546.24,64871.41,66870.78
0,75000,71926,72343.22,69478.43,71619.79
0,80000,76661,78305.16,75204.28,77522.11
0,85000,81394,83962.73,78992.13,83123.10
0,90000,86130,88831.11,83572.30,87942.80
0,95000,90875,92844.65,87348.25,91916.21
0,100000,95636,99578.41,93683.37,98582.63
1,5000,4878,4665.69,4572.38,4619.04
1,10000,9696,9424.57,9097.54,9330.32
1,15000,14484,14273.85,13848.49,14131.11
1,20000,19293,18957.39,18392.46,18767.82
1,25000,24107,24067.90,23468.61,23827.22
1,30000,28913,27628.28,26940.34,27352.00
1,35000,33712,31723.26,30933.35,31406.02
1,40000,38466,35902.63,35008.65,35543.60
1,45000,43257,40949.79,39930.14,40540.30
1,50000,48066,45840.60,44923.78,45382.19
1,55000,52824,50543.02,49532.16,50037.59
1,60000,57601,56129.47,55006.88,55568.18
1,65000,62370,59806.71,58610.58,59208.65
1,70000,67105,66288.92,63663.88,65626.03
1,75000,71863,71248.95,68427.49,70536.46
1,80000,76631,75567.07,72574.61,74811.40
1,85000,81386,79801.40,76641.26,79003.38
1,90000,86140,83121.54,78200.75,82290.33
1,95000,90860,88298.85,83071.55,87415.86
1,100000,95580,93292.47,87769.56,92359.55
2,5000,4916,4778.32,4589.10,4730.54
2,10000,9751,9356.87,9032.18,9263.30
2,15000,14569,13852.60,13439.79,13714.08
2,20000,19366,19330.75,18754.70,19137.45
2,25000,24150,23520.24,22934.59,23285.04
2,30000,28948,28297.50,27592.89,28014.52
2,35000,33718,33026.33,32203.97,32696.06
2,40000,38500,37786.77,36845.88,37408.91
2,45000,43269,41539.02,40708.24,41123.63
2,50000,48063,45926.32,45007.79,45467.05
2,55000,52827,50562.02,49550.78,50056.40
2,60000,57590,54918.26,53819.89,54369.08
2,65000,62359,59228.68,58044.11,58636.40
2,70000,67141,64258.69,61714.05,63616.11
2,75000,71888,70603.64,67807.73,69897.60
2,80000,76651,75110.40,72136.02,74359.29
2,85000,81404,79974.63,76807.64,79174.89
2,90000,86154,85145.50,80104.89,84294.05
2,95000,90895,89600.11,84295.79,88704.11
2,100000,95618,94043.77,88476.38,93103.33
3,5000,4894,4995.10,4797.29,4945.15
3,10000,9716,9944.50,9599.43,9845.06
3,15000,14537,14595.64,14160.69,14449.68
3,20000,19352,19830.19,19239.25,19631.89
3,25000,24140,24412.30,23804.44,24168.18
3,30000,28935,29962.13,29216.08,29662.51
3,35000,33727,34739.11,33874.11,34391.72
3,40000,38495,38555.06,37595.04,38169.51
3,45000,43275,43854.14,42977.06,43415.60
3,50000,48061,48415.94,47447.62,47931.78
3,55000,52813,52480.09,51430.49,51955.29
3,60000,57586,56660.78,55527.57,56094.18
3,65000,62345,61705.15,59261.63,61088.10
3,70000,67089,66078.03,63461.34,65417.25
3,75000,71844,70768.32,67965.89,70060.63
3,80000,76602,75088.53,72115.02,74337.64
3,85000,81344,79190.83,76054.87,78398.92
3,90000,86088,82435.16,77555.00,81610.81
3,95000,90828,88215.79,82993.42,87333.63
3,100000,95603,93056.83,87547.87,92126.26
4,5000,4885,5063.47,4862.95,5012.83
4,10000,9716,10152.01,9799.74,10050.49
4,15000,14535,15198.63,14745.71,15046.64
4,20000,19327,19531.45,18949.41,19336.13
4,25000,24140,24763.34,24146.73,24515.70
4,30000,28944,30350.60,29594.87,30047.09
4,35000,33730,35848.15,34955.53,35489.67
4,40000,38522,40918.93,39900.05,40509.74
4,45000,43297,45078.06,44176.50,44627.28
4,50000,48102,48874.72,47897.23,48385.98
4,55000,52882,52914.40,51856.11,52385.26
4,60000,57650,58633.93,57461.25,58047.59
4,65000,62447,62210.00,59746.48,61587.90
4,70000,67220,67341.93,64675.19,66668.51
4,75000,71983,72706.94,69827.75,71979.87
4,80000,76738,76774.37,73734.11,76006.63
4,85000,81473,81390.16,78167.11,80576.26
4,90000,86207,86234.52,81129.43,85372.17
4,95000,90932,90546.49,85186.14,89641.03
4,100000,95677,94092.36,88522.09,93151.44
5,5000,4885,4801.68,4611.54,4753.67
5,10000,9711,9848.89,9507.13,9750.40
5,15000,14499,15222.10,14768.48,15069.88
5,20000,19349,20154.34,19553.74,19952.80
5,25000,24173,24450.11,23841.30,24205.61
5,30000,28953,29599.33,28862.31,29303.34
5,35000,33742,34052.21,33204.31,33711.69
5,40000,38512,38079.70,37131.51,37698.90
5,45000,43293,43624.79,42752.29,43188.54
5,50000,48047,47424.70,46476.21,46950.45
5,55000,52813,50648.90,49635.93,50142.42
5,60000,57598,56144.75,55021.86,55583.30
5,65000,62374,60045.76,58844.85,59445.31
5,70000,67129,63670.37,61149.03,63033.67
5,75000,71906,68998.01,66265.68,68308.02
5,80000,76672,73732.45,70812.65,72995.13
5,85000,81434,78898.08,75773.72,78109.10
5,90000,86168,83656.32,78703.87,82819.76
5,95000,90933,87576.71,82392.17,86700.94
5,100000,95671,93668.03,88122.88,92731.35
6,5000,4883,4826.52,4635.39,4778.25
6,10000,9700,9647.45,9312.68,9550.97
6,15000,14527,14362.22,13934.22,14218.60
6,20000,19333,20239.36,19636.22,20036.96
6,25000,24150,24765.12,24148.47,24517.47
6,30000,28940,29399.40,28667.36,29105.41
6,35000,33722,32649.32,31836.36,32322.83
6,40000,38483,37297.66,36368.95,36924.68
6,45000,43254,42132.26,41289.62,41710.94
6,50000,48009,45221.65,44317.22,44769.44
6,55000,52785,49558.00,48566.84,49062.42
6,60000,57539,54686.31,53592.59,54139.45
6,65000,62265,58257.53,57092.38,57674.96
6,70000,67008,63439.35,60927.15,62804.96
6,75000,71737,69400.30,66652.05,68706.30
6,80000,76479,74758.39,71797.96,74010.81
6,85000,81204,79406.21,76261.73,78612.15
6,90000,85931,84485.35,79483.81,83640.49
6,95000,90678,90761.59,85388.51,89853.98
6,100000,95392,94976.00,89353.42,94026.24
7,5000,4902,4909.80,4715.37,4860.70
7,10000,9740,9898.92,9555.43,9799.93
7,15000,14540,14493.18,14061.28,14348.24
7,20000,19351,19487.42,18906.69,19292.54
7,25000,24153,23626.18,23037.89,23389.92
7,30000,28962,28628.91,27916.05,28342.62
7,35000,33744,33480.46,32646.79,33145.65
7,40000,38531,37814.48,36872.90,37436.33
7,45000,43333,43081.26,42219.63,42650.44
7,50000,48109,47799.01,46843.03,47321.02
7,55000,52874,52543.36,51492.49,52017.93
7,60000,57654,57026.22,55885.69,56455.95
7,65000,62400,63244.88,60740.39,62612.44
7,70000,67101,67988.46,65296.11,67308.57
7,75000,71832,73126.15,70230.35,72394.89
7,80000,76575,75909.99,72903.96,75150.89
7,85000,81324,80658.32,77464.25,79851.74
7,90000,86068,84586.95,79579.41,83741.08
7,95000,90818,89553.44,84251.88,88657.91
7,100000,95566,93866.91,88309.99,92928.24
8,5000,4889,4631.52,4538.89,4585.21
8,10000,9713,9284.91,8962.73,9192.06
8,15000,14547,13663.85,13256.67,13527.22
