experiment,step,true_count,hll_estimate
0,5000,4895,4948.78
0,10000,9712,10006.24
0,15000,14551,14764.78
0,20000,19360,19520.60
0,25000,24152,24799.45
0,30000,28969,30124.29
0,35000,33786,35526.33
0,40000,38558,40498.05
0,45000,43342,45050.49
0,50000,48096,50626.53
0,55000,52878,56184.50
0,60000,57669,61958.40
0,65000,62460,67671.78
0,70000,67207,71548.75
0,75000,71981,77082.25
0,80000,76746,80360.89
0,85000,81491,86345.19
0,90000,86261,90240.21
0,95000,91021,95394.65
0,100000,95768,102772.90
1,5000,4875,5066.77
1,10000,9692,9794.03
1,15000,14522,14579.27
1,20000,19317,19072.94
1,25000,24122,24196.24
1,30000,28923,29036.67
1,35000,33743,33781.60
1,40000,38558,39167.45
1,45000,43316,42562.21
1,50000,48077,47241.54
1,55000,52840,51751.68
1,60000,57604,57104.08
1,65000,62359,60780.47
1,70000,67117,65286.24
1,75000,71843,69739.68
1,80000,76588,73515.26
1,85000,81314,78452.05
1,90000,86055,81781.61
1,95000,90795,85621.35
1,100000,95527,88961.34
2,5000,4885,4941.99
2,10000,9702,9309.02
2,15000,14516,14261.94
2,20000,19309,18359.08
2,25000,24087,23472.25
2,30000,28876,27944.62
2,35000,33687,32276.12
2,40000,38470,37653.90
2,45000,43254,43154.54
2,50000,48043,48581.63
2,55000,52817,52485.43
2,60000,57601,58109.86
2,65000,62366,62453.55
2,70000,67139,68544.12
2,75000,71898,73421.07
2,80000,76666,78313.08
2,85000,81421,82235.81
2,90000,86138,86140.90
2,95000,90869,89758.63
2,100000,95613,93972.36
3,5000,4871,4667.85
3,10000,9679,9421.10
3,15000,14477,14190.59
3,20000,19287,19368.86
3,25000,24109,23694.74
3,30000,28918,28398.77
3,35000,33705,33398.07
3,40000,38488,40463.63
3,45000,43259,46056.86
3,50000,48030,50408.83
3,55000,52797,55182.66
3,60000,57586,60711.31
3,65000,62343,65098.10
3,70000,67100,71385.36
3,75000,71842,76467.06
3,80000,76617,83005.61
3,85000,81368,88680.92
3,90000,86103,93566.07
3,95000,90851,97596.83
3,100000,95589,102297.29
4,5000,4890,4817.51
4,10000,9728,9933.55
4,15000,14546,14646.07
4,20000,19336,18959.36
4,25000,24122,23594.48
4,30000,28928,28374.03
4,35000,33712,33285.28
4,40000,38519,38003.01
4,45000,43292,42342.09
4,50000,48056,48507.77
4,55000,52835,53742.33
4,60000,57608,58029.22
4,65000,62377,63893.85
4,70000,67151,67427.03
4,75000,71895,72199.76
4,80000,76680,76584.38
4,85000,81428,79596.15
4,90000,86165,84684.16
4,95000,90921,88833.65
4,100000,95643,93199.75
5,5000,4887,4742.60
5,10000,9718,9246.49
5,15000,14529,13923.78
5,20000,19340,18904.24
5,25000,24153,23768.26
5,30000,28940,28317.69
5,35000,33697,32839.53
5,40000,38468,38697.28
5,45000,43236,43514.37
5,50000,48008,49213.60
5,55000,52771,53256.78
5,60000,57519,57615.45
5,65000,62297,61942.28
5,70000,67044,66488.31
5,75000,71787,70734.35
5,80000,76550,75293.13
5,85000,81294,78767.55
5,90000,86034,82501.08
5,95000,90783,87599.02
5,100000,95499,91635.02
6,5000,4864,4720.69
6,10000,9693,9715.90
6,15000,14513,15090.65
6,20000,19311,19983.59
6,25000,24126,24837.27
6,30000,28919,29637.88
6,35000,33688,34781.67
6,40000,38493,39946.03
6,45000,43279,45057.71
6,50000,48056,49540.54
6,55000,52831,53636.15
6,60000,57610,58805.50
6,65000,62366,64637.16
6,70000,67123,68571.45
6,75000,71866,73905.00
6,80000,76625,78841.79
6,85000,81382,82874.45
6,90000,86137,87962.53
6,95000,90866,92847.43
6,100000,95620,99084.22
7,5000,4886,4918.95
7,10000,9693,10561.28
7,15000,14502,15604.26
7,20000,19316,20586.04
7,25000,24104,25210.57
7,30000,28924,30367.58
7,35000,33704,35841.92
7,40000,38498,39920.27
7,45000,43297,44495.39
7,50000,48078,49322.62
7,55000,52865,53485.05
7,60000,57638,59146.05
7,65000,62392,63246.17
7,70000,67159,66819.94
7,75000,71926,72794.17
7,80000,76684,75668.70
7,85000,81428,79663.77
7,90000,86152,84204.89
7,95000,90891,90934.95
7,100000,95631,95677.79
8,5000,4902,4846.18
8,10000,9736,9956.53
8,15000,14549,14771.55
8,20000,19347,19436.99
8,25000,24167,24109.34
8,30000,28954,28500.77
8,35000,33748,33341.22
8,40000,38559,39302.75
8,45000,43333,44444.90
8,50000,48084,49513.59
8,55000,52827,54449.62
8,60000,57616,59080.56
8,65000,62361,64368.29
8,70000,67107,69271.37
8,75000,71880,74894.08
8,80000,76624,78422.23
8,85000,81363,83410.55
8,90000,86107,87666.02
8,95000,90820,93721.92
8,100000,95517,98378.67
9,5000,4893,4883.39
9,10000,9740,9758.33
9,15000,14555,14858.79
9,20000,19348,19037.74
9,25000,24153,23787.26
9,30000,28953,28288.70
9,35000,33737,33104.40
9,40000,38530,37882.06
9,45000,43296,41133.22
9,50000,48071,46735.01
9,55000,52848,51252.00
9,60000,57594,55835.79
9,65000,62346,60523.71
9,70000,67085,65306.90
9,75000,71829,70907.76
9,80000,76592,76265.41
9,85000,81354,84246.14
9,90000,86085,89902.03
9,95000,90840,94158.20
9,100000,95583,98758.54
